唯一id,等级,职业id,attribute
1347,347,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3550#"maximumHealth":22090#"shen":10490#"xin":7010#"li":8760#"expPoint":1000}
1348,348,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3560#"maximumHealth":22150#"shen":10520#"xin":7030#"li":8785#"expPoint":1000}
1349,349,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3570#"maximumHealth":22210#"shen":10550#"xin":7050#"li":8810#"expPoint":1000}
1350,350,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3580#"maximumHealth":22270#"shen":10580#"xin":7070#"li":8835#"expPoint":1000}
1351,351,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3590#"maximumHealth":22330#"shen":10610#"xin":7090#"li":8860#"expPoint":1000}
1352,352,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3600#"maximumHealth":22390#"shen":10640#"xin":7110#"li":8885#"expPoint":1000}
1353,353,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3610#"maximumHealth":22450#"shen":10670#"xin":7130#"li":8910#"expPoint":1000}
1354,354,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3620#"maximumHealth":22510#"shen":10700#"xin":7150#"li":8935#"expPoint":1000}
1355,355,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3630#"maximumHealth":22570#"shen":10730#"xin":7170#"li":8960#"expPoint":1000}
1356,356,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3640#"maximumHealth":22630#"shen":10760#"xin":7190#"li":8985#"expPoint":1000}
1357,357,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3650#"maximumHealth":22690#"shen":10790#"xin":7210#"li":9010#"expPoint":1000}
1358,358,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3660#"maximumHealth":22750#"shen":10820#"xin":7230#"li":9035#"expPoint":1000}
1359,359,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3670#"maximumHealth":22810#"shen":10850#"xin":7250#"li":9060#"expPoint":1000}
1360,360,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3680#"maximumHealth":22870#"shen":10880#"xin":7270#"li":9085#"expPoint":1000}
1361,361,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3690#"maximumHealth":22930#"shen":10910#"xin":7290#"li":9110#"expPoint":1000}
1362,362,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3700#"maximumHealth":22990#"shen":10940#"xin":7310#"li":9135#"expPoint":1000}
1363,363,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3710#"maximumHealth":23050#"shen":10970#"xin":7330#"li":9160#"expPoint":1000}
1364,364,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3720#"maximumHealth":23110#"shen":11000#"xin":7350#"li":9185#"expPoint":1000}
1365,365,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3730#"maximumHealth":23170#"shen":11030#"xin":7370#"li":9210#"expPoint":1000}
1366,366,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3740#"maximumHealth":23230#"shen":11060#"xin":7390#"li":9235#"expPoint":1000}
1367,367,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3750#"maximumHealth":23290#"shen":11090#"xin":7410#"li":9260#"expPoint":1000}
1368,368,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3760#"maximumHealth":23350#"shen":11120#"xin":7430#"li":9285#"expPoint":1000}
1369,369,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3770#"maximumHealth":23410#"shen":11150#"xin":7450#"li":9310#"expPoint":1000}
1370,370,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3780#"maximumHealth":23470#"shen":11180#"xin":7470#"li":9335#"expPoint":1000}
1371,371,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3790#"maximumHealth":23530#"shen":11210#"xin":7490#"li":9360#"expPoint":1000}
1372,372,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3800#"maximumHealth":23590#"shen":11240#"xin":7510#"li":9385#"expPoint":1000}
1373,373,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3810#"maximumHealth":23650#"shen":11270#"xin":7530#"li":9410#"expPoint":1000}
1374,374,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3820#"maximumHealth":23710#"shen":11300#"xin":7550#"li":9435#"expPoint":1000}
1375,375,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3830#"maximumHealth":23770#"shen":11330#"xin":7570#"li":9460#"expPoint":1000}
1376,376,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3840#"maximumHealth":23830#"shen":11360#"xin":7590#"li":9485#"expPoint":1000}
1377,377,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3850#"maximumHealth":23890#"shen":11390#"xin":7610#"li":9510#"expPoint":1000}
1378,378,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3860#"maximumHealth":23950#"shen":11420#"xin":7630#"li":9535#"expPoint":1000}
1379,379,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3870#"maximumHealth":24010#"shen":11450#"xin":7650#"li":9560#"expPoint":1000}
1380,380,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3880#"maximumHealth":24070#"shen":11480#"xin":7670#"li":9585#"expPoint":1000}
1381,381,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3890#"maximumHealth":24130#"shen":11510#"xin":7690#"li":9610#"expPoint":1000}
1382,382,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3900#"maximumHealth":24190#"shen":11540#"xin":7710#"li":9635#"expPoint":1000}
1383,383,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3910#"maximumHealth":24250#"shen":11570#"xin":7730#"li":9660#"expPoint":1000}
1384,384,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3920#"maximumHealth":24310#"shen":11600#"xin":7750#"li":9685#"expPoint":1000}
1385,385,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3930#"maximumHealth":24370#"shen":11630#"xin":7770#"li":9710#"expPoint":1000}
1386,386,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3940#"maximumHealth":24430#"shen":11660#"xin":7790#"li":9735#"expPoint":1000}
1387,387,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3950#"maximumHealth":24490#"shen":11690#"xin":7810#"li":9760#"expPoint":1000}
1388,388,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3960#"maximumHealth":24550#"shen":11720#"xin":7830#"li":9785#"expPoint":1000}
1389,389,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3970#"maximumHealth":24610#"shen":11750#"xin":7850#"li":9810#"expPoint":1000}
1390,390,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3980#"maximumHealth":24670#"shen":11780#"xin":7870#"li":9835#"expPoint":1000}
1391,391,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":3990#"maximumHealth":24730#"shen":11810#"xin":7890#"li":9860#"expPoint":1000}
1392,392,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4000#"maximumHealth":24790#"shen":11840#"xin":7910#"li":9885#"expPoint":1000}
1393,393,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4010#"maximumHealth":24850#"shen":11870#"xin":7930#"li":9910#"expPoint":1000}
1394,394,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4020#"maximumHealth":24910#"shen":11900#"xin":7950#"li":9935#"expPoint":1000}
1395,395,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4030#"maximumHealth":24970#"shen":11930#"xin":7970#"li":9960#"expPoint":1000}
1396,396,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4040#"maximumHealth":25030#"shen":11960#"xin":7990#"li":9985#"expPoint":1000}
1397,397,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4050#"maximumHealth":25090#"shen":11990#"xin":8010#"li":10010#"expPoint":1000}
1398,398,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4060#"maximumHealth":25150#"shen":12020#"xin":8030#"li":10035#"expPoint":1000}
1399,399,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4070#"maximumHealth":25210#"shen":12050#"xin":8050#"li":10060#"expPoint":1000}
1400,400,103#203#313#323#413#423#513#523#613#623#713#723#813#823#913#923,{"maximumMana":1000#"moveSpeed":4000#"ti":4080#"maximumHealth":25270#"shen":12080#"xin":8070#"li":10085#"expPoint":1000}
1401,1,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":110#"maximumHealth":1380#"shen":70#"xin":90#"li":110#"expPoint":1000}
1402,2,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":120#"maximumHealth":1500#"shen":90#"xin":105#"li":130#"expPoint":1000}
1403,3,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":130#"maximumHealth":1620#"shen":110#"xin":120#"li":150#"expPoint":1000}
1404,4,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":140#"maximumHealth":1740#"shen":130#"xin":135#"li":170#"expPoint":1000}
1405,5,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":150#"maximumHealth":1860#"shen":150#"xin":150#"li":190#"expPoint":1000}
1406,6,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":160#"maximumHealth":1980#"shen":170#"xin":165#"li":210#"expPoint":1000}
1407,7,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":170#"maximumHealth":2100#"shen":190#"xin":180#"li":230#"expPoint":1000}
1408,8,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":180#"maximumHealth":2220#"shen":210#"xin":195#"li":250#"expPoint":1000}
1409,9,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":190#"maximumHealth":2340#"shen":230#"xin":210#"li":270#"expPoint":1000}
1410,10,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":200#"maximumHealth":2460#"shen":250#"xin":225#"li":290#"expPoint":1000}
1411,11,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":210#"maximumHealth":2580#"shen":270#"xin":240#"li":310#"expPoint":1000}
1412,12,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":220#"maximumHealth":2700#"shen":290#"xin":255#"li":330#"expPoint":1000}
1413,13,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":230#"maximumHealth":2820#"shen":310#"xin":270#"li":350#"expPoint":1000}
1414,14,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":240#"maximumHealth":2940#"shen":330#"xin":285#"li":370#"expPoint":1000}
1415,15,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":250#"maximumHealth":3060#"shen":350#"xin":300#"li":390#"expPoint":1000}
1416,16,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":260#"maximumHealth":3180#"shen":370#"xin":315#"li":410#"expPoint":1000}
1417,17,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":270#"maximumHealth":3300#"shen":390#"xin":330#"li":430#"expPoint":1000}
1418,18,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":280#"maximumHealth":3420#"shen":410#"xin":345#"li":450#"expPoint":1000}
1419,19,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":290#"maximumHealth":3540#"shen":430#"xin":360#"li":470#"expPoint":1000}
1420,20,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":300#"maximumHealth":3660#"shen":450#"xin":375#"li":490#"expPoint":1000}
1421,21,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":310#"maximumHealth":3780#"shen":470#"xin":390#"li":510#"expPoint":1000}
1422,22,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":320#"maximumHealth":3900#"shen":490#"xin":405#"li":530#"expPoint":1000}
1423,23,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":330#"maximumHealth":4020#"shen":510#"xin":420#"li":550#"expPoint":1000}
1424,24,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":340#"maximumHealth":4140#"shen":530#"xin":435#"li":570#"expPoint":1000}
1425,25,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":350#"maximumHealth":4260#"shen":550#"xin":450#"li":590#"expPoint":1000}
1426,26,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":360#"maximumHealth":4380#"shen":570#"xin":465#"li":610#"expPoint":1000}
1427,27,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":370#"maximumHealth":4500#"shen":590#"xin":480#"li":630#"expPoint":1000}
1428,28,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":380#"maximumHealth":4620#"shen":610#"xin":495#"li":650#"expPoint":1000}
1429,29,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":390#"maximumHealth":4740#"shen":630#"xin":510#"li":670#"expPoint":1000}
1430,30,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":400#"maximumHealth":4860#"shen":650#"xin":525#"li":690#"expPoint":1000}
1431,31,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":410#"maximumHealth":4980#"shen":670#"xin":540#"li":710#"expPoint":1000}
1432,32,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":420#"maximumHealth":5100#"shen":690#"xin":555#"li":730#"expPoint":1000}
1433,33,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":430#"maximumHealth":5220#"shen":710#"xin":570#"li":750#"expPoint":1000}
1434,34,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":440#"maximumHealth":5340#"shen":730#"xin":585#"li":770#"expPoint":1000}
1435,35,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":450#"maximumHealth":5460#"shen":750#"xin":600#"li":790#"expPoint":1000}
1436,36,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":460#"maximumHealth":5580#"shen":770#"xin":615#"li":810#"expPoint":1000}
1437,37,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":470#"maximumHealth":5700#"shen":790#"xin":630#"li":830#"expPoint":1000}
1438,38,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":480#"maximumHealth":5820#"shen":810#"xin":645#"li":850#"expPoint":1000}
1439,39,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":490#"maximumHealth":5940#"shen":830#"xin":660#"li":870#"expPoint":1000}
1440,40,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":500#"maximumHealth":6060#"shen":850#"xin":675#"li":890#"expPoint":1000}
1441,41,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":510#"maximumHealth":6180#"shen":870#"xin":690#"li":910#"expPoint":1000}
1442,42,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":520#"maximumHealth":6300#"shen":890#"xin":705#"li":930#"expPoint":1000}
1443,43,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":530#"maximumHealth":6420#"shen":910#"xin":720#"li":950#"expPoint":1000}
1444,44,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":540#"maximumHealth":6540#"shen":930#"xin":735#"li":970#"expPoint":1000}
1445,45,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":550#"maximumHealth":6660#"shen":950#"xin":750#"li":990#"expPoint":1000}
1446,46,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":560#"maximumHealth":6780#"shen":970#"xin":765#"li":1010#"expPoint":1000}
1447,47,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":570#"maximumHealth":6900#"shen":990#"xin":780#"li":1030#"expPoint":1000}
1448,48,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":580#"maximumHealth":7020#"shen":1010#"xin":795#"li":1050#"expPoint":1000}
1449,49,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":590#"maximumHealth":7140#"shen":1030#"xin":810#"li":1070#"expPoint":1000}
1450,50,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":600#"maximumHealth":7260#"shen":1050#"xin":825#"li":1090#"expPoint":1000}
1451,51,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":610#"maximumHealth":7380#"shen":1070#"xin":840#"li":1110#"expPoint":1000}
1452,52,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":620#"maximumHealth":7500#"shen":1090#"xin":855#"li":1130#"expPoint":1000}
1453,53,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":630#"maximumHealth":7620#"shen":1110#"xin":870#"li":1150#"expPoint":1000}
1454,54,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":640#"maximumHealth":7740#"shen":1130#"xin":885#"li":1170#"expPoint":1000}
1455,55,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":650#"maximumHealth":7860#"shen":1150#"xin":900#"li":1190#"expPoint":1000}
1456,56,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":660#"maximumHealth":7980#"shen":1170#"xin":915#"li":1210#"expPoint":1000}
1457,57,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":670#"maximumHealth":8100#"shen":1190#"xin":930#"li":1230#"expPoint":1000}
1458,58,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":680#"maximumHealth":8220#"shen":1210#"xin":945#"li":1250#"expPoint":1000}
1459,59,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":690#"maximumHealth":8340#"shen":1230#"xin":960#"li":1270#"expPoint":1000}
1460,60,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":700#"maximumHealth":8460#"shen":1250#"xin":975#"li":1290#"expPoint":1000}
1461,61,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":710#"maximumHealth":8580#"shen":1270#"xin":990#"li":1310#"expPoint":1000}
1462,62,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":720#"maximumHealth":8700#"shen":1290#"xin":1005#"li":1330#"expPoint":1000}
1463,63,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":730#"maximumHealth":8820#"shen":1310#"xin":1020#"li":1350#"expPoint":1000}
1464,64,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":740#"maximumHealth":8940#"shen":1330#"xin":1035#"li":1370#"expPoint":1000}
1465,65,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":750#"maximumHealth":9060#"shen":1350#"xin":1050#"li":1390#"expPoint":1000}
1466,66,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":760#"maximumHealth":9180#"shen":1370#"xin":1065#"li":1410#"expPoint":1000}
1467,67,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":770#"maximumHealth":9300#"shen":1390#"xin":1080#"li":1430#"expPoint":1000}
1468,68,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":780#"maximumHealth":9420#"shen":1410#"xin":1095#"li":1450#"expPoint":1000}
1469,69,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":790#"maximumHealth":9540#"shen":1430#"xin":1110#"li":1470#"expPoint":1000}
1470,70,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":800#"maximumHealth":9660#"shen":1450#"xin":1125#"li":1490#"expPoint":1000}
1471,71,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":810#"maximumHealth":9780#"shen":1470#"xin":1140#"li":1510#"expPoint":1000}
1472,72,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":820#"maximumHealth":9900#"shen":1490#"xin":1155#"li":1530#"expPoint":1000}
1473,73,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":830#"maximumHealth":10020#"shen":1510#"xin":1170#"li":1550#"expPoint":1000}
1474,74,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":840#"maximumHealth":10140#"shen":1530#"xin":1185#"li":1570#"expPoint":1000}
1475,75,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":850#"maximumHealth":10260#"shen":1550#"xin":1200#"li":1590#"expPoint":1000}
1476,76,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":860#"maximumHealth":10380#"shen":1570#"xin":1215#"li":1610#"expPoint":1000}
1477,77,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":870#"maximumHealth":10500#"shen":1590#"xin":1230#"li":1630#"expPoint":1000}
1478,78,104#204#314#324#414#424#514#524#614#624#714#724#814#824#914#924,{"maximumMana":1000#"moveSpeed":4000#"ti":880#"maximumHealth":10620#"shen":1610#"xin":1245#"li":1650#"expPoint":1000}
