装备ID,可用职业,可装孔位,孔位类型,进化词条数量,进化词条库随机概率,随机基础属性,附加属性词条数量,附加属性词条库随机概率,隐藏属性词条数量,隐藏属性词条库随机概率,耐久度,装备后存在总时间,宠物受伤减免,致命加成,创建条数与权重,固定卓越词条,能否镶宝,强化特效,是否携带技能,是否携带buff,是否有变身效果,装备修理费,装备评分,套装编号,装备追加最高等级上限,成长所需材料,场景中是否显示模型,自动回收/分解,自动购买箭矢,原地复活,回收江湖币变成非绑定,每日无损复活次数,土灵符存储坐标数,宠物自动喂养,开启宝石仓库,增加经验试炼副本次数,开启装备更换方案,扩展背包格子数,扩展仓库格子数,几阶装备,装备是否可以叠加,装备叠加上限,是否掉落,价格,标记,称号档位,attribute,disableAttribute
34121005,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1},{}
34121006,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34121007,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":16},{}
34121008,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34121009,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34121010,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1},{}
34121011,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1},{}
34121012,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34121013,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":1#"maximumPhysBaseDmg":2#"minimumPhysBaseDmg":1},{}
34121014,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34121015,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1},{}
34121016,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1},{}
34121017,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":12#"maximumPhysBaseDmg":20#"minimumPhysBaseDmg":10#"healthRecoveryAbsolute":32},{}
34121018,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34121019,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":16},{}
34121020,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":6},{}
34121021,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121022,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121023,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":18#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34121024,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121025,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":6},{}
34121026,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34121027,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121028,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":60#"defenseBase":10#"maximumHealth":100#"healthRecoveryAbsolute":8},{}
34121029,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":120#"defenseBase":15#"maximumHealth":200#"healthRecoveryAbsolute":8},{}
34121030,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":210#"defenseBase":20#"maximumHealth":350#"healthRecoveryAbsolute":8#"kungFuDefense_mul":100},{}
34121031,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":300#"defenseBase":25#"maximumHealth":500#"healthRecoveryAbsolute":8#"kungFuDefense_mul":200},{}
34121032,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":420#"defenseBase":35#"maximumHealth":700#"resistLuckRate":500#"healthRecoveryAbsolute":8#"kungFuDefense_mul":400},{}
34121033,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":540#"defenseBase":50#"maximumHealth":900#"resistLuckRate":1000#"healthRecoveryAbsolute":8#"kungFuDefense_mul":600},{}
34121034,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34121035,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":18#"minimumPhysBaseDmg":9#"healthRecoveryAbsolute":10},{}
34121036,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34121037,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34121038,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34121039,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":15#"minimumPhysBaseDmg":7#"healthRecoveryAbsolute":10},{}
34121040,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121041,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":18#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34121042,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34121043,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":18#"minimumPhysBaseDmg":9#"healthRecoveryAbsolute":10},{}
34121044,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":12#"maximumPhysBaseDmg":20#"minimumPhysBaseDmg":10#"healthRecoveryAbsolute":32},{}
34121045,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121046,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":6},{}
34121047,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34121048,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121049,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":6},{}
34121050,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121051,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1},{}
34121052,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34121053,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":1#"maximumPhysBaseDmg":2#"minimumPhysBaseDmg":1},{}
34121054,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":15#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":15},{}
34121055,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1},{}
34121056,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34121057,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":16},{}
34121058,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34121059,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34121060,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":10#"minimumPhysBaseDmg":5#"healthRecoveryAbsolute":10},{}
34121061,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34121062,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":10#"minimumPhysBaseDmg":5#"healthRecoveryAbsolute":10},{}
34121063,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":10#"minimumPhysBaseDmg":5#"healthRecoveryAbsolute":10},{}
34121064,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":10#"minimumPhysBaseDmg":5#"healthRecoveryAbsolute":10},{}
34121065,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":10#"minimumPhysBaseDmg":5#"healthRecoveryAbsolute":10},{}
34121066,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":10#"minimumPhysBaseDmg":5#"healthRecoveryAbsolute":10},{}
34121067,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":5#"maximumPhysBaseDmg":15#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":15},{}
34122001,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1},{}
34122002,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34122003,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":1#"maximumPhysBaseDmg":2#"minimumPhysBaseDmg":1},{}
34122004,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":15#"minimumPhysBaseDmg":7#"healthRecoveryAbsolute":10},{}
34122005,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1},{}
34122006,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34122007,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":16},{}
34122008,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34122009,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":10#"minimumPhysBaseDmg":5#"healthRecoveryAbsolute":10},{}
34122010,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1},{}
34122011,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1},{}
34122012,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34122013,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":1#"maximumPhysBaseDmg":2#"minimumPhysBaseDmg":1},{}
34122014,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":2#"maximumPhysBaseDmg":4#"minimumPhysBaseDmg":1},{}
34122015,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1},{}
34122016,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1},{}
34122017,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":12#"maximumPhysBaseDmg":20#"minimumPhysBaseDmg":10#"healthRecoveryAbsolute":32},{}
34122018,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34122019,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":16},{}
34122020,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":6},{}
34122021,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34122022,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34122023,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34122024,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":12#"minimumPhysBaseDmg":6#"healthRecoveryAbsolute":12},{}
34122025,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34122026,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":8#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34122027,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34122028,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":3#"maximumPhysBaseDmg":6#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":6},{}
34122029,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":60#"defenseBase":10#"maximumHealth":100#"healthRecoveryAbsolute":8},{}
34122030,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":120#"defenseBase":15#"maximumHealth":200#"healthRecoveryAbsolute":8},{}
34122031,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":210#"defenseBase":20#"maximumHealth":350#"healthRecoveryAbsolute":8#"kungFuDefense_mul":100},{}
34122032,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":300#"defenseBase":25#"maximumHealth":500#"healthRecoveryAbsolute":8#"kungFuDefense_mul":200},{}
34122033,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":420#"defenseBase":35#"maximumHealth":700#"resistLuckRate":500#"healthRecoveryAbsolute":8#"kungFuDefense_mul":400},{}
34122034,0,3506,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"maximumMana":540#"defenseBase":50#"maximumHealth":900#"resistLuckRate":1000#"healthRecoveryAbsolute":8#"kungFuDefense_mul":600},{}
34122035,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":18#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
34122036,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":4#"maximumPhysBaseDmg":8#"minimumPhysBaseDmg":1#"healthRecoveryAbsolute":8},{}
34122037,0,3106,1,,,,,,,,-9999,-9999,,,,,1#90&2#80&3#50&4#30,4,,,,1,100,,,,1,,,,,,,,,,,,,,,,,,,,{"defenseBase":6#"maximumPhysBaseDmg":16#"minimumPhysBaseDmg":8#"healthRecoveryAbsolute":10},{}
