BUFFid,BUFF名称,BUFF类型,BUFF子类型,BUFF参数,BUFF参数2,BUFF参数3,触发时机,首次执行延迟,执行间隔,消除类型,执行对象,是否可共存,优先级,持续时间参数,BUFF属性,buff群,该buff无法覆盖,BUFF属性组,buff描述,进试炼塔是否清除该buff,buff伤害是否独立飘数字,buff效果文字飘字,战力值
201380030,破甲刺魂,17,1701,1700#15000,201380080,,0,0,0,13,5,201380001,30,,,,,{"moveSpeed_mul":0},,,,pjch,
201380051,破甲刺魂Lv.1,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,1,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>5.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380052,破甲刺魂Lv.2,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,2,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>5.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380053,破甲刺魂Lv.3,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,3,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>6.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380054,破甲刺魂Lv.4,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,4,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>6.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380055,破甲刺魂Lv.5,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,5,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>7.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380056,破甲刺魂Lv.6,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,6,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>7.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380057,破甲刺魂Lv.7,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,7,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>8.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380058,破甲刺魂Lv.8,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,8,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>8.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380059,破甲刺魂Lv.9,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,9,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>9.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380060,破甲刺魂Lv.10,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,10,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>9.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380061,破甲刺魂Lv.11,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,11,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>10.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380062,破甲刺魂Lv.12,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,12,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>10.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380063,破甲刺魂Lv.13,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,13,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>11.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380064,破甲刺魂Lv.14,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,14,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>11.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380065,破甲刺魂Lv.15,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,15,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>12.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380066,破甲刺魂Lv.16,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,16,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>12.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380067,破甲刺魂Lv.17,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,17,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>13.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380068,破甲刺魂Lv.18,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,18,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>13.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380069,破甲刺魂Lv.19,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,19,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>14.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380070,破甲刺魂Lv.20,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,20,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>14.5%</color>几率将防御力的40%转化为追加伤害,,,,
201380071,破甲刺魂Lv.21,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,21,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>14.8%</color>几率将防御力的40%转化为追加伤害,,,,
201380072,破甲刺魂Lv.22,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,22,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>15.1%</color>几率将防御力的40%转化为追加伤害,,,,
201380073,破甲刺魂Lv.23,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,23,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>15.4%</color>几率将防御力的40%转化为追加伤害,,,,
201380074,破甲刺魂Lv.24,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,24,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>15.7%</color>几率将防御力的40%转化为追加伤害,,,,
201380075,破甲刺魂Lv.25,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,25,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>16.0%</color>几率将防御力的40%转化为追加伤害,,,,
201380076,破甲刺魂Lv.26,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,26,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>16.2%</color>几率将防御力的40%转化为追加伤害,,,,
201380077,破甲刺魂Lv.27,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,27,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>16.4%</color>几率将防御力的40%转化为追加伤害,,,,
201380078,破甲刺魂Lv.28,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,28,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>16.6%</color>几率将防御力的40%转化为追加伤害,,,,
201380079,破甲刺魂Lv.29,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,29,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>16.8%</color>几率将防御力的40%转化为追加伤害,,,,
201380080,破甲刺魂Lv.30,19,1901,71#148#4000,,,0,0,0,1#3,5,201380051,30,5000,,,,{"moveSpeed_mul":0},攻击时<color=#00ff00>17.0%</color>几率将防御力的40%转化为追加伤害,,,,
201390001,护身气甲Lv.1,19,1901,54#217#50,,,0,0,0,13,5,201390001,1,,,,,{"moveSpeed_mul":0},,,,,
201390002,护身气甲Lv.2,19,1901,54#217#100,,,0,0,0,13,5,201390001,2,,,,,{"moveSpeed_mul":0},,,,,
201390003,护身气甲Lv.3,19,1901,54#217#150,,,0,0,0,13,5,201390001,3,,,,,{"moveSpeed_mul":0},,,,,
201390004,护身气甲Lv.4,19,1901,54#217#200,,,0,0,0,13,5,201390001,4,,,,,{"moveSpeed_mul":0},,,,,
201390005,护身气甲Lv.5,19,1901,54#217#250,,,0,0,0,13,5,201390001,5,,,,,{"moveSpeed_mul":0},,,,,
201390006,护身气甲Lv.6,19,1901,54#217#300,,,0,0,0,13,5,201390001,6,,,,,{"moveSpeed_mul":0},,,,,
201390007,护身气甲Lv.7,19,1901,54#217#350,,,0,0,0,13,5,201390001,7,,,,,{"moveSpeed_mul":0},,,,,
201390008,护身气甲Lv.8,19,1901,54#217#400,,,0,0,0,13,5,201390001,8,,,,,{"moveSpeed_mul":0},,,,,
201390009,护身气甲Lv.9,19,1901,54#217#450,,,0,0,0,13,5,201390001,9,,,,,{"moveSpeed_mul":0},,,,,
201390010,护身气甲Lv.10,19,1901,54#217#500,,,0,0,0,13,5,201390001,10,,,,,{"moveSpeed_mul":0},,,,,
201390011,护身气甲Lv.11,19,1901,54#217#550,,,0,0,0,13,5,201390001,11,,,,,{"moveSpeed_mul":0},,,,,
201390012,护身气甲Lv.12,19,1901,54#217#600,,,0,0,0,13,5,201390001,12,,,,,{"moveSpeed_mul":0},,,,,
201390013,护身气甲Lv.13,19,1901,54#217#650,,,0,0,0,13,5,201390001,13,,,,,{"moveSpeed_mul":0},,,,,
201390014,护身气甲Lv.14,19,1901,54#217#700,,,0,0,0,13,5,201390001,14,,,,,{"moveSpeed_mul":0},,,,,
201390015,护身气甲Lv.15,19,1901,54#217#750,,,0,0,0,13,5,201390001,15,,,,,{"moveSpeed_mul":0},,,,,
201390016,护身气甲Lv.16,19,1901,54#217#800,,,0,0,0,13,5,201390001,16,,,,,{"moveSpeed_mul":0},,,,,
201390017,护身气甲Lv.17,19,1901,54#217#850,,,0,0,0,13,5,201390001,17,,,,,{"moveSpeed_mul":0},,,,,
201390018,护身气甲Lv.18,19,1901,54#217#900,,,0,0,0,13,5,201390001,18,,,,,{"moveSpeed_mul":0},,,,,
201390019,护身气甲Lv.19,19,1901,54#217#950,,,0,0,0,13,5,201390001,19,,,,,{"moveSpeed_mul":0},,,,,
201390020,护身气甲Lv.20,19,1901,54#217#1000,,,0,0,0,13,5,201390001,20,,,,,{"moveSpeed_mul":0},,,,,
201390021,护身气甲Lv.21,19,1901,54#217#1030,,,0,0,0,13,5,201390001,21,,,,,{"moveSpeed_mul":0},,,,,
201390022,护身气甲Lv.22,19,1901,54#217#1060,,,0,0,0,13,5,201390001,22,,,,,{"moveSpeed_mul":0},,,,,
201390023,护身气甲Lv.23,19,1901,54#217#1090,,,0,0,0,13,5,201390001,23,,,,,{"moveSpeed_mul":0},,,,,
201390024,护身气甲Lv.24,19,1901,54#217#1120,,,0,0,0,13,5,201390001,24,,,,,{"moveSpeed_mul":0},,,,,
201390025,护身气甲Lv.25,19,1901,54#217#1150,,,0,0,0,13,5,201390001,25,,,,,{"moveSpeed_mul":0},,,,,
201390026,护身气甲Lv.26,19,1901,54#217#1180,,,0,0,0,13,5,201390001,26,,,,,{"moveSpeed_mul":0},,,,,
201390027,护身气甲Lv.27,19,1901,54#217#1210,,,0,0,0,13,5,201390001,27,,,,,{"moveSpeed_mul":0},,,,,
201390028,护身气甲Lv.28,19,1901,54#217#1240,,,0,0,0,13,5,201390001,28,,,,,{"moveSpeed_mul":0},,,,,
201390029,护身气甲Lv.29,19,1901,54#217#1270,,,0,0,0,13,5,201390001,29,,,,,{"moveSpeed_mul":0},,,,,
201390030,护身气甲Lv.30,19,1901,54#217#1300,,,0,0,0,13,5,201390001,30,,,,,{"moveSpeed_mul":0},,,,,
201400001,穷途末路Lv.1,16,1617,500#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,1,,,,,{"moveSpeed_mul":0},,,,qtml,
201400002,穷途末路Lv.2,16,1617,550#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,2,,,,,{"moveSpeed_mul":0},,,,qtml,
201400003,穷途末路Lv.3,16,1617,600#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,3,,,,,{"moveSpeed_mul":0},,,,qtml,
201400004,穷途末路Lv.4,16,1617,650#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,4,,,,,{"moveSpeed_mul":0},,,,qtml,
201400005,穷途末路Lv.5,16,1617,700#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,5,,,,,{"moveSpeed_mul":0},,,,qtml,
201400006,穷途末路Lv.6,16,1617,750#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,6,,,,,{"moveSpeed_mul":0},,,,qtml,
201400007,穷途末路Lv.7,16,1617,800#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,7,,,,,{"moveSpeed_mul":0},,,,qtml,
201400008,穷途末路Lv.8,16,1617,850#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,8,,,,,{"moveSpeed_mul":0},,,,qtml,
201400009,穷途末路Lv.9,16,1617,900#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,9,,,,,{"moveSpeed_mul":0},,,,qtml,
201400010,穷途末路Lv.10,16,1617,950#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,10,,,,,{"moveSpeed_mul":0},,,,qtml,
201400011,穷途末路Lv.11,16,1617,1000#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,11,,,,,{"moveSpeed_mul":0},,,,qtml,
201400012,穷途末路Lv.12,16,1617,1050#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,12,,,,,{"moveSpeed_mul":0},,,,qtml,
201400013,穷途末路Lv.13,16,1617,1100#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,13,,,,,{"moveSpeed_mul":0},,,,qtml,
201400014,穷途末路Lv.14,16,1617,1150#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,14,,,,,{"moveSpeed_mul":0},,,,qtml,
201400015,穷途末路Lv.15,16,1617,1200#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,15,,,,,{"moveSpeed_mul":0},,,,qtml,
201400016,穷途末路Lv.16,16,1617,1250#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,16,,,,,{"moveSpeed_mul":0},,,,qtml,
201400017,穷途末路Lv.17,16,1617,1300#2500,201060001#201060002#201060003#201060004#201060005#201060006#201060007#201060008#201060009#201060010#201060011#201060012#201060013#201060014#201060015#201060016#201060017#201060018#201060019#201060020#201060021#201060022#201060023#201060024#201060025#201060026#201060027#201060028#201060029#201060030#201060031#201060032#201060033#201060034#201060035#201060036#201060037#201060038#201060039#201060040#201060041#201060042#201060043#201060044#201060045#201060046#201060047#201060048#201060049#201060050#201060051#201060052#201060053#201060054#201060055#201060056#201060057#201060058#201060059#201060060#201060061#201060062#201060063#201060064#201060065#201060066#201060067#201060068#201060069#201060070#201060071#201060072#201060073#201060074#201060075#201060076#201060077#201060078#201060079#201060080#201060081#201060082#201060083#201060084#201060085#201060086#201060087#201060088#201060089#201060090#201060091#201060092#201060093#201060094#201060095#201060096#201060097#201060098#201060099#201060100,,0,0,0,13,5,201400001,17,,,,,{"moveSpeed_mul":0},,,,qtml,
