ID,标识物品废弃,道具名称,图标,道具类型,子类型,X轴,Y轴,使用条件201&$M$2&O7&$P$2&101&$M$2&P7&$P$2&301&$M$2&Q7&$P$2&401&$M$2&R7&$P$2&501&$M$2&S7,可用职业,可用性别,需要等级,阵营要求,特殊归属保护时间,品质,聊天颜色显示,tips颜色显示,战斗力,是否绑定,堆叠数量,使用效果,道具参数,自动使用,使用cd,共用CD组,使用次数,获取次数,拾取次数,整理排序,售价,回收额外获得,捐献贡献,是否可以销毁,拍卖行底价,物品使用条件（服务器）,是否会掉落,服务器日志（记录物品的来源和去向）,掉落日志,道具有效时间,对应非绑定道具id,是否拍卖,价格限制,是否获得即使用,离开副本后道具状态,拍卖公示时间,最小上架数量,推荐价格,竞价幅度,时装标示,死亡购买使用道具,交易行购买后是否变为绑定,日志记录,未拾取邮件补发物品标记,是否可存入仓库,时装系列
1301319,,混元金刚石（随机）,9000544,5,0,1,1,,0,,0,,,5,5,5,,1,9999,3#181,,,,,,,,40000,,,,0,100,1,0,0,1,0,,1#1000030#1000020,,,,,,,,,,,1,0,1,
1301320,,冰魄寒玉石（随机）,9000547,5,0,1,1,,0,,0,,,5,5,5,,1,9999,3#182,,,,,,,,40000,,,,0,100,1,0,0,1,0,,1#1000030#1000020,,,,,,,,,,,1,0,1,
1301321,,涤心净化符,9001028,3,0,1,1,,0,,0,,,6,6,6,,1,9999,10#7780,,,,,,,,210000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301322,,烈焰剑鬼图鉴·一层,9001053,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301323,,梨花剑姬图鉴·一层,9001057,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301324,,黑恶剑魔图鉴·一层,9001061,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301325,,赏金剑士图鉴·一层,9001054,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301326,,双刃剑者图鉴·一层,9001055,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301327,,紫衣剑客图鉴·一层,9001058,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301328,,红衣剑客图鉴·二层,9001056,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301329,,无名剑者图鉴·二层,9001059,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301330,,快刀剑痴图鉴·二层,9001060,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301331,,血影剑灵图鉴·二层,9001062,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301332,,短剑剑士图鉴·二层,9001064,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301333,,双剑剑士图鉴·二层,9001063,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301334,,烈焰剑鬼图鉴·三层,9001053,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301335,,梨花剑姬图鉴·三层,9001057,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301336,,黑恶剑魔图鉴·三层,9001061,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301337,,赏金剑士图鉴·三层,9001054,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301338,,双刃剑者图鉴·三层,9001055,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301339,,紫衣剑客图鉴·三层,9001058,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301340,,红衣剑客图鉴·四层,9001056,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301341,,无名剑者图鉴·四层,9001059,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301342,,快刀剑痴图鉴·四层,9001060,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301343,,血影剑灵图鉴·四层,9001062,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301344,,短剑剑士图鉴·四层,9001064,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301345,,双剑剑士图鉴·四层,9001063,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301346,,烈焰剑鬼图鉴·五层,9001053,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301347,,梨花剑姬图鉴·五层,9001057,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301348,,黑恶剑魔图鉴·五层,9001061,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301349,,赏金剑士图鉴·五层,9001054,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301350,,双刃剑者图鉴·五层,9001055,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301351,,紫衣剑客图鉴·五层,9001058,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301352,,红衣剑客图鉴·六层,9001056,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301353,,无名剑者图鉴·六层,9001059,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301354,,快刀剑痴图鉴·六层,9001060,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301355,,血影剑灵图鉴·六层,9001062,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301356,,短剑剑士图鉴·六层,9001064,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301357,,双剑剑士图鉴·六层,9001063,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301358,,烈焰剑鬼图鉴·七层,9001053,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301359,,梨花剑姬图鉴·七层,9001057,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301360,,黑恶剑魔图鉴·七层,9001061,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301361,,赏金剑士图鉴·七层,9001054,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301362,,双刃剑者图鉴·七层,9001055,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301363,,紫衣剑客图鉴·七层,9001058,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301364,,红衣剑客图鉴·八层,9001056,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301365,,无名剑者图鉴·八层,9001059,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301366,,快刀剑痴图鉴·八层,9001060,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301367,,血影剑灵图鉴·八层,9001062,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301368,,短剑剑士图鉴·八层,9001064,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301369,,双剑剑士图鉴·八层,9001063,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301370,,烈焰剑鬼图鉴·九层,9001053,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301371,,梨花剑姬图鉴·九层,9001057,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301372,,黑恶剑魔图鉴·九层,9001061,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301373,,赏金剑士图鉴·九层,9001054,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301374,,双刃剑者图鉴·九层,9001055,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301375,,紫衣剑客图鉴·九层,9001058,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301376,,红衣剑客图鉴·十层,9001056,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301377,,无名剑者图鉴·十层,9001059,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301378,,快刀剑痴图鉴·十层,9001060,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301379,,血影剑灵图鉴·十层,9001062,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301380,,短剑剑士图鉴·十层,9001064,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301381,,双剑剑士图鉴·十层,9001063,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301382,,烈焰剑鬼图鉴·十一层,9001053,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301383,,梨花剑姬图鉴·十一层,9001057,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301384,,黑恶剑魔图鉴·十一层,9001061,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301385,,赏金剑士图鉴·十一层,9001054,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301386,,双刃剑者图鉴·十一层,9001055,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301387,,紫衣剑客图鉴·十一层,9001058,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301388,,红衣剑客图鉴·十二层,9001056,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301389,,无名剑者图鉴·十二层,9001059,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301390,,快刀剑痴图鉴·十二层,9001060,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301391,,血影剑灵图鉴·十二层,9001062,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301392,,短剑剑士图鉴·十二层,9001064,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301393,,双剑剑士图鉴·十二层,9001063,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301394,,纹龙剑甲自选箱,9001072,5,0,1,1,,0,,0,,,7,12,12,,1,9999,31#331,,,,,,,,40000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1301395,,纹龙装备自选箱（一）,9001071,5,0,1,1,,0,,0,,,7,12,12,,1,9999,31#332,,,,,,,,40000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1301396,,纹龙装备自选箱（二）,9001071,5,0,1,1,,0,,0,,,7,12,12,,1,9999,31#333,,,,,,,,40000,,,,0,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1301397,,剑皇圣地福利宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#352,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301398,,剑皇圣地一层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#353,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301399,,剑皇圣地二层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#354,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301400,,剑皇圣地三层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#355,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301401,,剑皇圣地四层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#356,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301402,,剑皇圣地五层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#357,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301403,,剑皇圣地六层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#358,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301404,,剑皇圣地七层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#359,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301405,,剑皇圣地八层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#360,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301406,,剑皇圣地九层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#361,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301407,,剑皇圣地十层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#362,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301408,,剑皇圣地十一层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#363,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301409,,剑皇圣地十二层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301410,,剑皇圣地十三层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301411,,剑皇圣地十四层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301412,,剑皇圣地十五层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301413,,剑皇圣地十六层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301414,,剑皇圣地十七层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301415,,剑皇圣地十八层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301416,,剑皇圣地十九层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301417,,剑皇圣地二十层宝箱,9000619,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#1072,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301418,,神剑灵晶,9001073,6,0,1,1,,0,,0,,,6,6,6,,1,999999,,,,,,,,,60000,,,,1,100,1,0,1,1,0,,,,,,,,,,,,,1,0,1,
1301419,,1000万经验丹,9000679,3,303,1,1,201#0&101#0&301#0&401#0&501#0,0,,1,,,3,3,3,,1,99999,13#10000000#10000,,,,,,,,10130,,,100,0,100,1,0,0,0,0,,,,,,,,,,,,,1,0,1,
1301420,,节日礼包自选箱（一）,9000904,5,0,1,1,,0,,0,,,7,7,7,,1,9999,31#334,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301421,,节日礼包自选箱（二）,9000904,5,0,1,1,,0,,0,,,7,7,7,,1,9999,31#335,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301422,,节日礼包自选箱（三）,9000904,5,0,1,1,,0,,0,,,7,7,7,,1,9999,31#336,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301423,,剑皇装备随机箱,9000628,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#338,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301424,,剑皇装备至尊随机箱,9000629,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#337,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301425,,剑皇圣地令牌,9001081,3,0,1,1,,0,,0,,,6,6,6,,1,9999,54#9200001#1,,,,,,,,1100,,,,1,100,1,0,1,0,0,,,,,,,,,,,1,,1,0,1,
1301426,,剑皇装备自选箱,9000626,5,0,1,1,,0,,0,,,6,6,6,,1,9999,31#345,,,,,,,,40000,,,,1,100,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1301427,,材料自选宝箱,9000617,5,0,1,1,,0,,0,,,6,6,6,,1,9999,31#364,,,,,,,,40000,,,,1,100,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1301428,,至尊取玉符自选箱,9000635,5,0,1,1,,0,,0,,,6,6,6,,1,9999,31#365,,,,,,,,40000,,,,1,100,1,0,1,0,0,,,,,,,,,,,,,1,0,1,
1301429,,六转证物（正）,9000023,6,0,1,1,,0,,0,,,5,5,5,,1,1,,,,,,,,,280000,,,,1,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301430,,六转证物（邪）,9000023,6,0,1,1,,0,,0,,,5,5,5,,1,1,,,,,,,,,280000,,,,1,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301431,,七转证物（正）,9000023,6,0,1,1,,0,,0,,,5,5,5,,1,1,,,,,,,,,280000,,,,1,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301432,,七转证物（邪）,9000023,6,0,1,1,,0,,0,,,5,5,5,,1,1,,,,,,,,,280000,,,,1,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301433,,天机石,9000060,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,1,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301434,,飞升修炼场门票,9001086,3,0,1,1,,0,,0,,,6,6,6,,1,9999,329#3600#50000101#50000102#50000103,,,,,,,,1100,,,,1,100,1,0,1,0,0,,,,,,,,,,,1,,1,0,1,
1301435,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#366,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301436,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#367,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301437,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#368,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301438,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#369,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301439,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#370,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301440,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#371,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301441,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#372,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301442,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#373,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301443,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#374,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301444,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#375,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301445,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#376,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301446,,神剑灵晶宝箱,9000649,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#377,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301447,,锻钢结晶,9000557,6,0,1,1,,0,,0,,,6,6,6,,1,9999,,,,,,,,,60000,,,,1,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301448,,混元金刚石（随机）宝箱,9000544,5,0,1,1,,0,,0,,,5,5,5,,1,9999,3#378,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301449,,冰魄寒玉石（随机）宝箱,9000547,5,0,1,1,,0,,0,,,5,5,5,,1,9999,3#379,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301450,,飞升气功书,9001091,5,0,1,1,,0,,0,,,6,6,6,,1,9999,3#380,,,,,,,,40000,,,,0,100,1,0,0,1,0,,,,,,,,,,,,,1,0,1,
1301451,,飞升历练丹（100%）,9001087,3,0,1,1,,0,,0,,,4,4,4,,1,9999,2#100200333,,,,,,,,30000,,,,0,100,1,0,0,0,0,,,,,,,,,,,,,1,0,1,
1301452,,飞升历练丹（200%）,9001088,3,0,1,1,,0,,0,,,5,5,5,,1,9999,2#100200334,,,,,,,,30000,,,,0,100,1,0,0,0,0,,,,,,,,,,,,,1,0,1,
1301453,,飞升历练丹（300%）,9001089,3,0,1,1,,0,,0,,,6,6,6,,1,9999,2#100200335,,,,,,,,30000,,,,0,100,1,0,0,0,0,,,,,,,,,,,,,1,0,1,
1301454,,飞升历练·小,9001090,5,0,1,1,,0,,1,,,4,4,4,,1,99999,3#381,,,,,,,,10130,,,,0,100,1,0,0,0,0,,,,,,,,,,,,,1,0,1,
